ID	Original Question	Paraphrasing 1	Paraphrasing 2	SPARQL Query
Q68	Show me the book that Muhammad Ali wrote .	Show me the book that was written by Muhammad Ali.	Which book was written by Muhammad Ali ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book ; dbo:author res:Muhammad_Ali }
Q70	Which movies starring Mickey Rourke were directed by Guy Ritchie ?	Which movies were directed by Guy Ritchie with Mickey Rourke being an actor in them?	Which movie was directed by Guy Ritchie with lead role of Mickey Rourke ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Mickey_Rourke ; dbo:director res:Guy_Ritchie }
Q61	Does the Ford Motor Company have a manufacturing plant in Malaysia ?	Is there any manufacturing plant of Ford Motor Company in Malaysia?	Does Malaysia have Ford Motor Company manufacturing plant?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> ASK WHERE { ?uri dbo:assembly dbr:Malaysia ; dbo:manufacturer dbr:Ford_Motor_Company }
Q9	Give me all books written by Danielle Steel .	what all books  Danielle Steel authored?	What are the books authored by Danielle Steel ?	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Book> ; <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Danielle_Steel> }
Q36	Where is Sungkyunkwan University ?	Where Sungkyunkwan University is located ?	Sungkyunkwan University is loacated at which place?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country }
Q4	Show me all museums in London .	list all the mmuseums in  London .	Give me a list of all museums in London .	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Museum> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/London> }
Q35	Was Sigmund Freud married ?	What was the marital status of Sigmund Freud ?	Did Sigmund Freud's marriage happen ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> ASK WHERE { dbr:Sigmund_Freud dbo:spouse ?uri }
Q50	Who was married to president Chirac ?	What was the name of president Chirac's wife?	Whom Predident Chirac married to?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Jacques_Chirac dbo:spouse ?uri }
Q84	How many moons does Mars have ?	Mars has how many moons?	What number of moons does Mars have ?	SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Mars> <http://dbpedia.org/property/satellites> ?n }
Q67	What form of government does Russia have ?	What is the form of government in Russia?	What type of government does Russia consist ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri }
Q89	Where is Fort Knox located ?	Where is the location of Fort Knox ?	Where is Fort Knox situated ?	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/ontology/location> ?uri. ?uri a <http://dbpedia.org/ontology/Place>. }
Q5	Give me all actors who were born in Paris after 1950 .	Give me all actors whose birthplace is Paris and are born post 1950 .	Give me the names of actors born after 1950 in Paris .	SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }
Q83	Which professional surfers were born in Australia ?	Give the name of the professional surfers who wre born in Australia ?	Which expert surfers were born in Australia ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { { ?uri dbo:occupation res:Surfer ; dbo:birthPlace res:Australia } UNION { ?uri dbo:occupation res:Surfer ; dbo:birthPlace ?place . ?place dbo:country res:Australia } }
Q58	Where is Syngman Rhee buried ?	where did Syngman Rhee last rituals take place?	Where did Syngman Rhee die?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Syngman_Rhee dbo:restingPlace ?uri }
Q46	What is the official language of Suriname ?	Tell me the name of the official language of Surinam.	What formal language is followed by people of Suriname	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Suriname dbo:officialLanguage ?uri }
Q52	Give me the birth place of Frank Sinatra .	where was  Frank Sinatra  born?	Where was Frank Sinatra born?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?place WHERE { res:Frank_Sinatra dbo:birthPlace ?place }
Q18	What is the smallest city by area in Germany ?	Which city in Germany is smallest by area ?	What is the name of smallest size city in Germany ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dct: <http://purl.org/dc/terms/> SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1
Q34	How large is the area of UK ?	How much is the area of UK ?	What is the area of  UK ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area }
Q53	Who is the oldest child of Meryl Streep ?	Who is  Meryl Streep's first child ?	Among four who do you think Meryl Streep's oldest child?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1
Q91	Where did Abraham Lincoln die ?	In which place did Abraham Lincoln die?	Name the place where Abraham Lincoln passed away .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. }
Q100	How many companies were founded by the founder of Facebook ?	What other companies were founded by the founder of Facebook?	What is the count of companies founded by the Facebook founder ?	SELECT (COUNT(DISTINCT ?x) AS ?c) WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri . ?x <http://dbpedia.org/ontology/foundedBy> ?uri }
Q41	Who composed the soundtrack for Cameron 's Titanic ?	Who is the composer of the soundtrack of Cameron's Titanic?	Who composed music for famous Cameron 's Titanic ?	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> dbo:musicComposer ?uri }
Q97	When did princess Diana die ?	How many years ago did princess Diana die?	Give the date when princess Diana died ?	"SELECT DISTINCT xsd:date(?d) WHERE { <http://dbpedia.org/resource/Diana,_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?d }"
Q37	How often did Jane Fonda marry ?	How many times did Jane Fonda marry ?	How many spouses did Jane Fonda has ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri }
Q54	Which television shows were created by Walt Disney ?	what all tv series Walt Disney create ?	Name all the Walt Disney's created television shows 	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:TelevisionShow ; dbo:creator res:Walt_Disney }
Q7	Which beer originated in Ireland ?	name that beer that is born in Ireland ?	What is the name of the beer that originated from Ireland ?	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; <http://dbpedia.org/ontology/origin> <http://dbpedia.org/resource/Beer_in_Ireland> }
Q59	Show me all books in Asimov 's Foundation series .	List all the books in Asimov 's Foundation series .	List all the books in Asimov 's Foundation series .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:Foundation_series }
Q88	When is the movie Worst Case Scenario going to be in cinemas in the Netherlands ?	When will the movie Worst Case Scenario hit cinemas in the Netherlands ?	What is the released date of movie Worst Case Scenario in cinema in the Netherlands ?	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbr: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?rel WHERE { <http://dbpedia.org/resource/Worst_Case_Scenario_(film)> ?p ?o ; dbo:releaseDate ?rel FILTER contains(lcase(str(?o)), \""netherlands\"") }"
Q42	Is James Bond married ?	Does James Bond have a spouse?	Is James Bond not married?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:James_Bond dbo:spouse ?uri }
Q56	Which scientist is known for the Manhattan Project and the Nobel Peace Prize ?	which scientist is famous for Manhattan Project and has won Nobel Peace Prize ?	Name the famous scientist behind Manhattan Project and also Nobel Peace Prize	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri dbo:knownFor res:Manhattan_Project ; rdf:type dbo:Scientist ; dbo:knownFor res:Nobel_Peace_Prize }
Q1	Who is the mayor of New York City ?	who is current mayor of  New York City ?	What is the name of current New Yyork City mayor ? 	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri }
Q11	How many airlines are members of the Star Alliance ?	What number of airlines are part of the Star Alliance ?	Number of airlines those are part of the Star Alliance !	SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }
Q14	When did Latvia join the EU ?	When did Latvia become part of the EU? 	When did Latvia become part of the EU ?	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date }
Q20	What is the second highest mountain on Earth ?	Which mountain is the second highest on Earth ? 	What is next to tallest mountain on Earth ?	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1
Q15	Which soccer players were born on Malta ?	Which soccer players has Malta as birth place?	Who are the soccer players come from Malta ?	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerPlayer> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Malta> }
Q47	In which city did Nikos Kazantzakis die ?	Where did Nikos Kazantzakis die?	In which city Nikos Kazantzakis breathe his last breath?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Nikos_Kazantzakis dbo:deathPlace ?uri . ?uri rdf:type dbo:Town }
Q94	Is the wife of President Obama called Michelle ?	Is Michelle the name of President  Obama's  wife?	Is Michelle spouse of President Obama ?	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Michelle\"") }"
Q69	Where in France is sparkling wine produced ?	Sparkling wine is produced in which area of  France?	What location in France is known for making of sparkling wine ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:wineProduced res:Sparkling_wine ; dbo:location res:France }
Q86	Who was influenced by Socrates ?	Whom did Socrates influenced ?	Socrates influenced whom?	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/influencedBy> <http://dbpedia.org/resource/Socrates> 
Q43	Does the Isar flow into a lake ?	Where does the Isar end?	Does not the river Isar finally end into a sea or ocean ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { ?x dbo:inflow res:Isar ; rdf:type dbo:Lake }
Q3	Who created the comic Captain America ?	who broght  Captain America into existence?	Name the person who created the comic Captain America ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }
Q38	Which cities does the Weser flow through ?	Which cities does the Weser passes through ?	list the cities throught which Weser flows through ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Weser dbo:city ?uri }
Q85	When did Michael Jackson die ?	Which year did Michael Jackson die ?	When was the death of Michael Jackson? 	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://dbpedia.org/ontology/deathDate> ?date }
Q10	Which films starring Clint Eastwood did he direct himself ?	list films which have  Clint Eastwood as both actor and director	Name the films directed by Clint Eastwood where he was also actor ?	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood> }
Q8	Give me all actors who were born in Berlin .	list actors whose birthplace is  Berlin .	List out all actors who have their birth place as Berlin .	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> }
Q95	Who is the governor of Texas ?	What is the name of the governor of Texas?	Who is Texas governor ?	PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?string WHERE { res:Texas dbp:governor ?string }
Q16	How many politicians graduated from Columbia University ?	What  number of politicians graduated from Columbia University ?	How many politicians' alma-mater is Columbia University ?	SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> ; <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> }
Q60	Who is the host of the BBC Wildlife Specials ?	BBC Wildlife Specials was presented by? 	Can you please tell me the name of the host of BBC Wildlife Specials ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:BBC_Wildlife_Specials dbo:presenter ?uri }
Q82	What is the longest river in China ?	The longest river in China is known by what name?	Which river is longest in China ?	SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/China> ; <http://dbpedia.org/property/length> ?l } ORDER BY DESC(?l) OFFSET 0 LIMIT 1
Q87	Who was the father of Queen Elizabeth II ?	What is the name of the father of Queen Elizabeth II ?	Queen Elizabeth II was daughter of ?	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT * WHERE { res:Elizabeth_II dbo:parent ?uri . ?uri <http://xmlns.com/foaf/0.1/gender> \""male\""@en }"
Q66	What is the capital of Canada ?	Which city is the capital of  Canada ?	What is the name of Canada capital city ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Canada dbo:capital ?uri }
Q51	Did Che Guevara have children ?	Did Che Guevara fathered kids?	Did Che Guevara have a son or daughter or both ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Che_Guevara dbo:child ?uri }
Q98	Which instruments does Cat Stevens play ?	What are the instruments that Cat Stevens plays?	Give me a list of instruments that Cat Stevens play .	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri }
Q96	Give me all Frisian islands that belong to the Netherlands .	Which are the Frisian islands that Netherland owns?	List out all Frisian islands that are in the territory of Netherlands .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatFrisianIslands ; dbo:country res:Netherlands }
Q45	How tall is Claudia Schiffer ?	What is Claudia Schiffer's height?	What is the height of Claudia Schiffer ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height }
Q13	Where is the residence of the prime minister of Spain ?	Where is the Spain prime minister's residence? 	Where does prime minister of Spain live ?	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri }
Q17	Give me a list of all lakes in Denmark .	Tell me the list of all lakes in Denmark .	What are the names of lakes in Denmark ?	SELECT DISTINCT ?uri WHERE { { ?uri a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> } UNION { ?uri a <http://dbpedia.org/class/yago/LakesOfDenmark> } }
Q32	In which state Penn State University is located ?	Name the state where Penn State University is located ?	Penn State University is located in which state ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?s WHERE { dbr:Pennsylvania_State_University dbo:state ?s }
Q63	What did Bruce Carver die from ?	What was to reason for Bruce Carver 's death ?	How did  Bruce Carver die ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Carver dbo:deathCause ?uri }
Q31	Who played Gus Fring in Breaking Bad ?	Gus Fring was played by whom in Breaking Bad ?	Gus Fring's role in Breaking Bad was played by whom?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Gus_Fring dbo:portrayer ?uri }
Q44	Give me all actors starring in movies directed by William Shatner .	List all actors starring in director William Shatner movies.	Name all the actors who worked with Director  William Shartner	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner ; dbo:starring ?uri }
Q65	In which city does Sylvester Stallone live ?	Sylvester Stallone lives in which city ?	Where does Sylvester Stallone live ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City . res:Sylvester_Stallone dbo:residence ?uri }
Q2	What are the official languages of the Philippines ?	which languages are official in  Philippines ?	List out official languages spoken in Philippines .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri }
Q99	How many rivers and lakes are in South Carolina ?	What are the rivers and lakes of South  Carolina?	Give me a count of rivers and lakes in South Carolina .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dct: <http://purl.org/dc/terms/> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dbr: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { { ?uri dbo:location dbr:South_Carolina ; rdf:type dbo:Lake } UNION { ?uri dct:subject dbc:Rivers_and_streams_of_South_Carolina } }
